,2,3,1,4,5
RTY,0.04607012161808138,0.033798933548920974,0.05609516009702886,0.11306179563672732,0.04412176102959878
TPX,0.04963070030004137,0.024097331948760032,0.06438233683520167,0.07573684011489239,0.037012707523298216
HFRXAR,0.0029980601400486223,0.0075070405089839864,0.003421270838869006,0.014407537549854752,0.005689193356268204
SPVXSTR,0.187214326674858,0.0946963526396748,0.14736359961783158,0.14022662794220028,0.1592600274666898
SPGTIND,0.033817094211834195,0.017209686537704272,0.02315246358544774,0.09048296561230318,0.028604596638574224
GECU10YR,0.14013314003244343,0.12343334409762048,0.22801005674982228,0.22222287689910525,0.16709684811000355
STCGUSRE,0.029520421553124676,0.05051217760098118,0.047848446823016845,0.15591878710590334,0.04099594999374124
MXEU,0.04817441992819608,0.016672900867726038,0.050011992393172444,0.0629637434426892,0.026923640104113383
GUKG10,0.20081579081512427,0.14442170426576806,0.193201737030238,0.3159949936332754,0.17662896308911846
MXUSMC,0.04520191499760982,0.018441711468842492,0.03423156332271615,0.09315111462585272,0.03498296348251974
IBOXIG,0.00869031031006342,0.008865732228694112,0.010430006962149352,0.024226058682698882,0.011627188039711545
NDEUCHF,0.06059701648538133,0.032518752883387236,0.12022885928564775,0.12457744625185564,0.04881637232479367
Cycle,,,,,
MXASJ,0.0403033443994712,0.010227584515150712,0.07076080169109433,0.09719367950438,0.03979055989478929
SPGSCI,0.057900279743056816,0.03610344276516997,0.04075767568499167,0.12262133399663279,0.04609079593734564
MXEF,0.04663114638745066,0.01435994411217778,0.06943795833268007,0.11261537290232419,0.03957883111569663
TRVCI,0.06810700638917283,0.019593782763501322,0.08430653323281234,0.07279366398767813,0.04594019581472995
CY00,0.006941683224702988,0.006882074265198446,0.00660717058453153,0.025194209399746384,0.008588184861670877
SPX,0.026622318504175544,0.025856438832175293,0.03637051183479532,0.07106443322459845,0.03006649666973634
IADMGOLD,0.03887107623091335,0.0248298535890919,0.027835227334642942,0.07546384423555386,0.043850433684284484
SPBDU1ST,0.007946737660872203,0.011708610097463101,0.01317159859233552,0.032863233552445394,0.017853919263904075
BNDGLB,0.0056895465785227195,0.0076824025910887436,0.008078635889118724,0.01401513930036112,0.008227678770885016
IDCOTCTR,0.005683827995263657,0.004794037700445434,0.007677089096307044,0.015368530204675022,0.007342650953212916
DWCF,0.033122440131071705,0.025317007055244794,0.03512711050577302,0.0797952492950112,0.031098282717762136
AD09X,0.03665496907158429,0.011743552132457665,0.03440713119646629,0.09490239637480115,0.035459093122117806
ASX,0.0303812629440943,0.01270040163386806,0.05825499165564126,0.06361332146891652,0.02851195755825374
LBUSTRUU,0.003775565262582418,0.005008971165632259,0.005265172590797396,0.008796168705212604,0.00600570596188731
SPLPEQTY,0.04275990989956998,0.032741447053170114,0.06791296720204376,0.14931607561364268,0.05188055674449817
SREITGL,0.02353408053624793,0.03122887021594878,0.037635981222175055,0.10982686156904338,0.03548940065529594
