,2,3,1,4,5
RTY,0.0032919848045932583,0.0019078810622488844,0.0037481093887579554,0.014805226864513818,0.003037758522437918
TPX,0.003764143387350821,0.0010034629768812793,0.004655241359766949,0.010009700123260272,0.0024471214273752706
HFRXAR,1.1885491497263545e-05,8.059322984491767e-05,1.6955713427507052e-05,0.00035255409793149813,5.0875011876772376e-05
SPVXSTR,0.04810204614910383,0.011922741194129128,0.027309703291704866,0.023651003224526564,0.03669477298206664
SPGTIND,0.0014502047176990077,0.0003075363650896482,0.0013446554023332912,0.011098488748104254,0.0015533350072326575
GECU10YR,0.025915109739533027,0.018975369083166,0.06497755132097437,0.07716128945832011,0.0469229176445232
STCGUSRE,0.0012288611029457259,0.0035729392328216945,0.003659608894496884,0.035414165930139394,0.0025085728491283966
MXEU,0.0029428698662826466,0.0004192903070380326,0.004692894813141061,0.005839641425405302,0.0013334463087825228
GUKG10,0.05044477903795757,0.027193295188035323,0.059711262113826546,0.16260718421015244,0.04926114875446266
MXUSMC,0.0025534471988413144,0.0006456223577327789,0.0021133476070657616,0.012768672155252625,0.0019917309816699156
IBOXIG,0.00013142784843476639,9.013399512819759e-05,0.00011407545674102562,0.0012360874505375034,0.00023371249477306048
NDEUCHF,0.005704223066199421,0.0012162556248297893,0.02030822051432345,0.020619713078791842,0.0038824140820503043
Cycle,,,,,
MXASJ,0.0026269350269513335,0.00012989385094111907,0.0076131019137456075,0.01480390297732242,0.002897777258698893
SPGSCI,0.005570489580471946,0.0018704898461684842,0.0024320871035165004,0.022856282842187225,0.0037729607326646565
MXEF,0.0028629867381787374,0.0002500430557555891,0.006850537616606686,0.019304033397487066,0.0029838152476525854
TRVCI,0.005345185762365851,0.0004859864611982061,0.010611915787850633,0.007602220396047805,0.0037110739833148085
CY00,8.048478870597835e-05,5.765244320919239e-05,4.556609795269885e-05,0.001222969971827291,0.00013147048971133657
SPX,0.0012498822499906075,0.0007029003696504842,0.0018915218843254197,0.007813802068014864,0.001491747939793571
IADMGOLD,0.00221241824761181,0.0006473433254352884,0.001070958442230836,0.009574606662289917,0.002985598033616974
SPBDU1ST,9.576903468156781e-05,0.00025188755910536764,0.00020542928514926908,0.00186147048789089,0.0005426310773186945
BNDGLB,4.824869835928425e-05,7.434596197470509e-05,7.963247696468648e-05,0.000273547143597662,0.00011726854213920145
IDCOTCTR,3.908120203699492e-05,3.640245473332634e-05,8.920139601607256e-05,0.0003721476693578481,8.649563762387027e-05
DWCF,0.0016647421122005374,0.0007064033879454925,0.0018656413215358987,0.008917120134407246,0.0016221016244095936
AD09X,0.0019738347967820295,0.00018438707128909759,0.0022758115846717372,0.013453711013274205,0.002430116263416927
ASX,0.0014537947532711297,0.00026917016525916134,0.004273419201063395,0.005986380294879034,0.0012766725345749676
LBUSTRUU,3.222181869181087e-05,3.1726779892113164e-05,3.825077053531402e-05,0.00015135577956811272,6.565737958825559e-05
SPLPEQTY,0.002806767314265651,0.0015222220367402924,0.005822144032272488,0.034456699753512496,0.004214971165433577
SREITGL,0.0009437187869538668,0.0021476075561628447,0.0022918558557021005,0.022425200521289528,0.0022483112754607152
