,AD09X,ASX,BNDGLB,CY00,DWCF,GECU10YR,GUKG10,HFRXAR,IADMGOLD,IBOXIG,IDCOTCTR,LBUSTRUU,MXASJ,MXEF,MXEU,MXUSMC,NDEUCHF,RTY,SPBDU1ST,SPGSCI,SPGTIND,SPLPEQTY,SPVXSTR,SPX,SREITGL,STCGUSRE,TPX,TRVCI,U0A0
AD09X,0.00016022422144713533,0.00013420577441283164,-3.0242046304973577e-06,-2.607477512077465e-06,9.366707452777114e-05,0.00023540073061523975,0.0002471644347373528,7.116184100822328e-06,2.4878382361227784e-05,-1.9290212555337496e-06,-1.212088718887936e-05,-4.854864142887085e-06,0.00013250798718525425,0.0001565816098419413,0.00014428337126388881,0.00010568651869278885,0.00015339406031918026,0.0001019859910999323,-2.5447602360365536e-06,9.263955743106411e-05,0.0001315624733885906,0.00016179661208623285,-0.0002502400366166266,9.127650580564991e-05,0.0001119148065481719,9.084416345039116e-05,0.00012055587693616289,8.846379853167421e-05,-3.618762451384085e-06
ASX,0.00013420577441283164,0.00015320909639167154,-9.481196026604647e-06,-6.212570624361291e-06,0.00010012947827576279,0.0002565262527444754,0.0002670673971938805,6.52603806532607e-06,6.025560306724741e-06,-4.207124286662305e-06,-1.4705281020939792e-05,-7.625082738710388e-06,9.893449733351805e-05,0.00013038929244448886,0.00015630161127566753,0.00011045158904706945,0.00011427325115526477,0.00010793844804074342,-7.726137976717152e-06,8.256531310409803e-05,0.00011331276360523621,0.00015156309590001684,-0.0002700244828518305,9.841860600381091e-05,0.0001045197572589758,0.00010104538830353399,7.762615927614267e-05,9.442643742860489e-05,-3.62472485302753e-06
BNDGLB,-3.0242046304973577e-06,-9.481196026604647e-06,7.611899660450247e-06,6.806019096484025e-06,-1.1036615360395737e-05,-7.736692495247214e-05,-8.670916208166146e-05,-3.3617823378667706e-07,7.81382275660152e-06,6.237744091327023e-06,6.746182266259049e-06,5.8031206976219e-06,-3.112259948395614e-06,-5.444809538710627e-06,-1.1721071606925882e-05,-1.188170822777746e-05,-3.933562730485802e-06,-1.2800332572309843e-05,9.577060752890952e-06,-5.519299827413614e-06,-2.640787906005453e-06,-9.91359434431746e-06,3.182724329698766e-05,-1.0927506896297776e-05,-5.235181838118304e-06,-9.981137257524626e-06,-5.212258827438259e-06,-1.1179041231207097e-05,2.6600852307529095e-06
CY00,-2.607477512077465e-06,-6.212570624361291e-06,6.806019096484025e-06,9.50582101174807e-06,-1.2014673851957758e-05,-8.27098625203296e-05,-8.666620465216314e-05,-9.099245850656431e-10,5.114260806131136e-06,8.200483238728083e-06,8.090779287002472e-06,7.1169271608377425e-06,1.9404339036436827e-06,-2.160250861579708e-06,-7.523192427274662e-06,-1.3040006444221906e-05,2.946425207873464e-06,-1.4938601869043487e-05,1.1970309576162823e-05,-7.938008335794068e-06,-2.9195419612925743e-06,-1.003906824344648e-05,3.2614635207232106e-05,-1.1830206463267947e-05,-6.448159453835652e-06,-1.3270471016465436e-05,2.526340161111829e-06,-1.1514818193904445e-05,3.371209857335241e-06
DWCF,9.366707452777114e-05,0.00010012947827576279,-1.1036615360395737e-05,-1.2014673851957758e-05,0.0001710750295424788,0.0002179282723211314,0.00022486729817201698,4.024955621726015e-06,6.011753945310768e-06,-8.592918816032491e-06,-1.7069070175241203e-05,-1.0431089015312603e-05,5.606509748975214e-05,9.572809430163058e-05,0.00011007683724940829,0.00018590144597767946,6.167116985818406e-05,0.0002016884027417624,-1.5548540643006093e-05,7.4387290760611e-05,0.00010133092121380423,0.00017938954434572194,-0.0004301482533254715,0.00016848889076639132,0.0001536727019378924,0.0002256885316018888,3.8769195941191374e-05,0.00015720837377460387,-5.661402356684426e-06
GECU10YR,0.00023540073061523975,0.0002565262527444754,-7.736692495247214e-05,-8.27098625203296e-05,0.0002179282723211314,0.002408383722733332,0.0021746217936105,1.0600050713054973e-05,-4.4534075555085616e-05,-8.093851421452335e-05,-9.484289550575512e-05,-7.223060492895123e-05,0.00013281958911830078,0.00021166695292516196,0.00028000197048444085,0.00023998416111479078,0.000140498573405439,0.00025519190991088784,-0.00011813796456428512,0.00018820710121564296,0.00018928988072279361,0.00031218956104204983,-0.0006282246156480554,0.0002134570597196047,0.0001849429665766244,0.00020599507659541013,0.00010482268821309217,0.00019619643127455745,-4.017622384025798e-05
GUKG10,0.0002471644347373528,0.0002670673971938805,-8.670916208166146e-05,-8.666620465216314e-05,0.00022486729817201698,0.0021746217936105,0.0030042211676327485,1.2683319026631888e-05,-6.373508962371229e-05,-9.15297766227381e-05,-0.00010048142358887944,-7.63430397197776e-05,0.0001567328099330297,0.00023098627160097378,0.00031600216372557326,0.0002466604105733799,0.00017384121146128342,0.0002583958851345363,-0.0001278935121492967,0.00019577648855130335,0.00019596585147192247,0.000335340040921995,-0.0006369140633972486,0.00022065742513005933,0.00016468497739186944,0.00017014902549973148,0.00014366559987527124,0.00021178634796588348,-4.502924902427443e-05
HFRXAR,7.116184100822328e-06,6.52603806532607e-06,-3.3617823378667706e-07,-9.099245850656431e-10,4.024955621726015e-06,1.0600050713054973e-05,1.2683319026631888e-05,2.8897836669906115e-06,1.3589007223637332e-06,5.1728181687599793e-08,-5.688045120237821e-07,-2.4929277464061963e-07,7.164196465424766e-06,7.775757724857725e-06,6.9906350920388105e-06,4.452150460212197e-06,8.732392916097967e-06,3.7920602546683155e-06,8.124731530747814e-08,4.529764250092229e-06,6.189046424721356e-06,5.773994543540181e-06,-1.610318611994249e-05,3.911914440718056e-06,2.5287297578852484e-06,-7.412093644213606e-07,6.348873076401345e-06,6.416282771761958e-06,-1.3661536843306078e-07
IADMGOLD,2.4878382361227784e-05,6.025560306724741e-06,7.81382275660152e-06,5.114260806131136e-06,6.011753945310768e-06,-4.4534075555085616e-05,-6.373508962371229e-05,1.3589007223637332e-06,0.00014802154773706057,4.976798840228241e-06,4.536146756384573e-06,4.335582617824707e-06,1.101132676810409e-05,2.18410671901887e-05,7.972606018490003e-07,1.0415034944813788e-05,9.336773614289682e-06,6.419051186106505e-06,1.1891141225240237e-05,6.296150957738793e-05,2.221202475291624e-05,7.757808191853466e-06,-2.60158403089684e-05,5.229789021273246e-06,1.1669490049563962e-05,2.8448090329357317e-06,-1.3267126674243007e-08,-1.7905608479477073e-06,9.348180871108172e-07
IBOXIG,-1.9290212555337496e-06,-4.207124286662305e-06,6.237744091327023e-06,8.200483238728083e-06,-8.592918816032491e-06,-8.093851421452335e-05,-9.15297766227381e-05,5.1728181687599793e-08,4.976798840228241e-06,1.2954042795823734e-05,6.434661159825087e-06,6.014877134818105e-06,1.1470776621841975e-06,-1.11517586234679e-06,-5.582731525636994e-06,-9.350866708892562e-06,2.1117763412749984e-06,-1.1482681678160853e-05,1.0024101033522637e-05,-6.463374214105279e-06,-1.5840688512036466e-06,-7.277629093660732e-06,2.575723708995197e-05,-8.32789319431461e-06,-3.5431989300417206e-06,-8.344819762731174e-06,4.6886957853484884e-07,-8.95129189186104e-06,3.691597540963794e-06
