,AD09X,ASX,BNDGLB,CY00,DWCF,GECU10YR,GUKG10,HFRXAR,IADMGOLD,IBOXIG,IDCOTCTR,LBUSTRUU,MXASJ,MXEF,MXEU,MXUSMC,NDEUCHF,RTY,SPBDU1ST,SPGSCI,SPGTIND,SPLPEQTY,SPVXSTR,SPX,SREITGL,STCGUSRE,TPX,TRVCI,U0A0
AD09X,0.0025835552321405606,0.0016726416100518674,0.00012560519287993505,0.00033129435443557604,0.0018599987149340892,0.0036596958988963438,0.0029518407689405274,0.00016600153984947977,0.0004286512234388962,0.00037995803344496545,-0.00016259509227432547,4.078194512711137e-05,0.0027455183899046127,0.0029300235081463686,0.0017582105028972382,0.0021326841131289426,0.0029358835465401936,0.00214969459335113,0.00015570693705059557,0.0018394166992563971,0.0020238683380449088,0.003146529126223972,-0.006962196945852643,0.0018020072956958528,0.0022429499623500765,0.0022188435891987175,0.0019012439143539007,0.002118129457761857,6.613099387345945e-05
ASX,0.0016726416100518674,0.0014902597091000515,2.0569180253559196e-05,0.00019732835024124966,0.001379226574061584,0.0024901195516160877,0.0017309659821525586,0.0001404754449632185,4.923217578971516e-05,0.0002529329062244025,-0.00013634113011296673,5.967722759572446e-06,0.0017389719459015825,0.0018549991558077144,0.0014758113994318175,0.0015610988817314829,0.0019174971236272029,0.0015643305689056776,1.3825191142241534e-05,0.0008948666982130387,0.0013252127905772535,0.002024280620815319,-0.004777265206060432,0.0013470480998469545,0.00147470619103717,0.0015357396960284059,0.0012150978042578813,0.0016286227429441803,8.456160856053492e-05
BNDGLB,0.00012560519287993505,2.0569180253559196e-05,0.0001588353015474144,0.00015811557356827937,-5.641742517536129e-06,-0.0015434872227237076,-0.0019854928193424417,-1.80136718938678e-06,0.000366543710719238,0.00019491553662731348,0.00013405839972469152,0.00011836306031670166,0.00018331552914090105,0.0001752442065101071,-5.659242302488334e-05,1.1652273597834616e-05,0.00016018920205881823,-4.215313922292068e-05,0.0002233977534243199,3.275081420916912e-05,0.00017805714321431998,4.8123007259788324e-05,5.791292425313066e-05,-2.76868026777775e-06,0.00023498491199475238,0.00022028247881276104,-0.00011846166361901753,-0.00011186123617313205,7.102623603601889e-05
CY00,0.00033129435443557604,0.00019732835024124966,0.00015811557356827937,0.00022690122260669447,0.00016231063556543132,-0.001268355532184166,-0.0017457316780591326,2.6503170615035843e-05,0.0003607788281581889,0.00027751960659640575,0.00010837318952180351,0.0001291457317431202,0.00043856408608218913,0.0004389380333576859,0.00016498461296549736,0.00023367495920427478,0.0004439978398443034,0.00016659845069899286,0.00024116457108774828,0.00016309560513169907,0.00033318341140518235,0.0003085602215491009,-0.0006450297308520257,0.00015346166685705696,0.00045003251403105535,0.00045259251246248177,0.00013120528608831242,8.256201422088783e-05,0.00010654053421266161
DWCF,0.0018599987149340892,0.001379226574061584,-5.641742517536129e-06,0.00016231063556543132,0.0017683331226761028,0.0034290807878110505,0.00300365823528797,0.00014265373271174164,-4.747022527761994e-05,0.00019651346963495787,-0.0002007424714920465,-3.405262611847298e-05,0.001903605225735462,0.002051753093919733,0.0014700634640951807,0.0019768631879969224,0.001988586497824149,0.0021021858336620243,-1.4698673900807059e-05,0.0012317978209288088,0.0014843454767072435,0.002570767444457449,-0.0061142882888860816,0.0017185741835601764,0.0018179731576200204,0.0020111155589291525,0.0014075810293431162,0.002048088095927079,4.7712100181608424e-05
GECU10YR,0.0036596958988963438,0.0024901195516160877,-0.0015434872227237076,-0.001268355532184166,0.0034290807878110505,0.04011090886247913,0.039161271567283,0.00026269005810552885,-0.0018118780650958396,-0.0016235572041923677,-0.0020369808167171656,-0.0013958319700983876,0.0028306939166793193,0.0037507887921500037,0.0028116360691362785,0.0039176587126083014,0.003159391962410121,0.004306724415103014,-0.002223692728839321,0.005103368998856621,0.002181755538075059,0.005022471398006916,-0.013543460599246042,0.003269893462487755,0.0012904028008285785,0.0011555521118247578,0.0036579440879198058,0.00407963751980135,-0.0007998108903937278
GUKG10,0.0029518407689405274,0.0017309659821525586,-0.0019854928193424417,-0.0017457316780591326,0.00300365823528797,0.039161271567283,0.056192993639663055,0.00024611827440835057,-0.003309200294875186,-0.0021706093192426054,-0.002654929697300354,-0.0018513706328858557,0.001966859980266517,0.0028420252415203035,0.002629600912157237,0.0034626777680392302,0.00242601828080332,0.0038314142414555222,-0.003183249397044996,0.005631231078746444,0.0010183052915966838,0.0043891777813929115,-0.01364331195598293,0.002822923230496007,2.095811245481598e-06,-0.00018310477031468646,0.004116997550773468,0.004176644235016834,-0.001018077819454997
HFRXAR,0.00016600153984947977,0.0001404754449632185,-1.80136718938678e-06,2.6503170615035843e-05,0.00014265373271174164,0.00026269005810552885,0.00024611827440835057,5.6883027331322675e-05,2.5590921798392216e-05,3.141361061698723e-05,-1.369837547652252e-05,1.784159015797955e-06,0.0001849001716517624,0.00020106290823784865,0.00014831210282400902,0.0001795349266630876,0.00017581195369159008,0.00016422970987363462,1.4961039690906325e-05,0.00013910334542802786,0.00012939119324886515,0.0002128668365528418,-0.0006035311454364327,0.00013385410314367205,0.00013606090540471102,0.00013972158436250677,0.00016900471982677156,0.00018998299318452225,1.281356947510466e-05
IADMGOLD,0.0004286512234388962,4.923217578971516e-05,0.000366543710719238,0.0003607788281581889,-4.747022527761994e-05,-0.0018118780650958396,-0.003309200294875186,2.5590921798392216e-05,0.0030389109075012115,0.0004036244249827041,0.00025294546380377476,0.0002592548988299591,0.0007446346212681076,0.0008248405326029024,-0.0002846466180392623,0.0001202853280836307,0.0006916447058801138,-9.779007091850506e-06,0.0005993614582265137,0.0011543391544444636,0.0004346774910253062,0.00020001560861090573,-0.0005956233374595763,-8.496737491167414e-05,0.0006643534083446937,0.00048695760557127834,-0.0004450900916225837,-0.00014113437530127964,0.0001475268041963686
IBOXIG,0.00037995803344496545,0.0002529329062244025,0.00019491553662731348,0.00027751960659640575,0.00019651346963495787,-0.0016235572041923677,-0.0021706093192426054,3.141361061698723e-05,0.0004036244249827041,0.00036886428512721144,0.00013437421146514264,0.0001566316956390376,0.0005197536773906073,0.0005103014019038048,0.00020157091669572864,0.00027654682716259484,0.0005418970840903039,0.0001927194323920163,0.00027814569026291436,9.764400610128929e-05,0.0003947131447179062,0.0002817038559903794,-0.0007268262847238639,0.00018820470178490477,0.00050810119954196,0.0005280992929246338,0.00013012979088447205,0.00010752945152480002,0.00013695148790146783
