,0
RTY,0.0019216819422549014
TPX,-0.0027643507891679316
HFRXAR,-0.0001941645445200131
SPVXSTR,-0.03740517777690996
SPGTIND,0.002356289327990731
GECU10YR,-0.02349442571902918
STCGUSRE,-0.0012594866122423755
MXEU,-0.0008289481990702403
GUKG10,-0.021754546063354585
MXUSMC,0.0033732284197841595
IBOXIG,0.003790271198886451
NDEUCHF,0.011240347673947876
MXASJ,0.00493729863411364
SPGSCI,0.001403364023322467
MXEF,0.0032133513377650795
TRVCI,0.011441401906471645
CY00,0.0033715857419790297
SPX,0.0029051226911399673
IADMGOLD,0.00622411780825063
SPBDU1ST,0.003564737122111905
BNDGLB,0.003129506205106118
IDCOTCTR,0.0029293801645921616
DWCF,0.003118822654094952
AD09X,0.0003790440593320959
ASX,5.9110387033720416e-06
LBUSTRUU,0.00296836694785942
SPLPEQTY,-0.0033134991777455753
SREITGL,-0.0012006538917595372
U0A0,0.002811526747783739
